transaction_id,datetime,store_id,product_id,quantity,unit_price,payment_type
T3-132,2025-08-22T13:29:28,S010,P0087,5,179.23,online
T3-133,2025-08-22T19:55:04,S009,P0091,1,156.6,card
T3-134,2025-08-22T09:24:16,S010,P0018,1,61.17,online
T3-135,2025-08-22T17:17:33,S006,P0026,5,25.34,online
T3-136,2025-08-22T20:55:40,S003,P0024,1,182.85,card
T3-137,2025-08-22T19:11:57,S001,P0002,4,125.2,card
T3-138,2025-08-22T13:20:21,S001,P0107,3,189.8,online
T3-139,2025-08-22T16:39:15,S004,P0085,4,18.59,cash
T3-140,2025-08-22T15:43:42,S009,P0193,5,198.86,online
T3-141,2025-08-22T15:08:24,S007,P0044,2,93.1,card
T3-142,2025-08-22T10:55:52,S001,P0134,1,194.9,cash
T3-143,2025-08-22T13:04:04,S009,P0161,1,175.92,cash
T3-144,2025-08-22T17:46:12,S009,P0057,2,155.19,card
T3-145,2025-08-22T16:59:08,S002,P0153,2,197.5,card
T3-146,2025-08-22T13:12:42,S006,P0018,4,85.83,card
T3-147,2025-08-22T14:53:31,S010,P0131,2,39.8,online
T3-148,2025-08-22T19:11:24,S008,P0106,1,109.07,card
T3-149,2025-08-22T18:13:40,S002,P0185,2,156.71,card
T3-150,2025-08-22T10:33:21,S002,P0059,4,88.4,cash
T3-151,2025-08-22T12:53:30,S010,P0153,3,143.59,cash
T3-152,2025-08-22T11:21:02,S005,P0097,1,187.51,cash
T3-153,2025-08-22T19:20:12,S006,P0155,1,174.79,online
T3-154,2025-08-22T14:17:59,S002,P0034,2,31.15,cash
T3-155,2025-08-22T12:25:17,S007,P0163,4,181.36,cash
T3-156,2025-08-22T16:59:47,S003,P0114,1,73.16,card
T3-157,2025-08-22T18:18:14,S004,P0038,3,115.92,cash
T3-158,2025-08-22T17:15:22,S005,P0063,4,53.85,online
T3-159,2025-08-22T09:48:42,S002,P0063,5,180.96,online
T3-160,2025-08-22T12:39:14,S010,P0117,1,148.61,card
T3-161,2025-08-22T11:58:27,S006,P0164,3,136.13,card
T3-162,2025-08-22T13:43:23,S010,P0075,4,77.37,online
T3-163,2025-08-22T09:40:50,S003,P0024,2,55.96,card
T3-164,2025-08-22T17:35:59,S004,P0017,3,84.1,card
T3-165,2025-08-22T13:00:30,S009,P0176,1,85.47,online
T3-166,2025-08-22T17:59:38,S003,P0146,3,99.07,online
T3-167,2025-08-22T15:04:05,S005,P0052,4,71.68,online
T3-168,2025-08-22T13:07:29,S004,P0017,3,11.5,card
T3-169,2025-08-22T13:59:18,S007,P0024,5,20.1,card
T3-170,2025-08-22T16:14:52,S002,P0038,2,127.93,online
T3-171,2025-08-22T11:31:54,S007,P0184,4,113.32,cash
T3-172,2025-08-22T15:57:02,S001,P0012,3,176.55,card
T3-173,2025-08-22T13:03:20,S008,P0003,4,192.69,online
T3-174,2025-08-22T13:35:38,S003,P0034,1,135.72,card
T3-175,2025-08-22T15:27:04,S002,P0023,1,13.85,online
T3-176,2025-08-22T10:44:34,S005,P0153,5,97.23,card
T3-177,2025-08-22T18:54:52,S006,P0106,1,147.84,cash
T3-178,2025-08-22T19:44:24,S007,P0079,3,2.56,card
T3-179,2025-08-22T10:32:37,S005,P0124,4,73.14,card
T3-180,2025-08-22T20:18:59,S009,P0060,2,2.96,cash
T3-181,2025-08-22T13:27:33,S006,P0175,2,100.02,online
T3-182,2025-08-22T13:27:13,S006,P0072,5,36.46,online
T3-183,2025-08-22T19:45:23,S010,P0180,2,58.8,cash
T3-184,2025-08-22T11:54:35,S006,P0051,1,195.24,online
T3-185,2025-08-22T09:18:54,S007,P0015,1,20.62,cash
T3-186,2025-08-22T10:29:55,S006,P0010,1,112.66,cash
T3-187,2025-08-22T20:23:22,S003,P0097,3,149.65,online
T3-188,2025-08-22T13:28:43,S005,P0131,3,197.6,online
T3-189,2025-08-22T19:56:06,S004,P0163,4,54.92,cash
T3-190,2025-08-22T18:58:53,S008,P0189,2,134.87,card
T3-191,2025-08-22T09:02:23,S010,P0058,3,80.1,online
T3-192,2025-08-22T18:01:10,S002,P0059,3,121.37,cash
T3-193,2025-08-22T20:43:50,S009,P0041,4,174.91,cash
T3-194,2025-08-22T10:45:30,S004,P0122,1,179.18,cash
T3-195,2025-08-22T11:01:14,S001,P0031,3,144.29,card
T3-196,2025-08-22T14:40:43,S001,P0175,5,82.64,cash
T3-197,2025-08-22T19:34:10,S002,P0059,2,85.28,online
T3-198,2025-08-22T17:51:20,S003,P0012,3,46.98,cash
T3-199,2025-08-22T15:57:58,S004,P0118,4,14.05,online
T3-200,2025-08-22T14:50:52,S004,P0063,5,87.8,online
T3-201,2025-08-22T14:56:04,S008,P0174,5,15.36,online
T3-202,2025-08-22T10:00:14,S001,P0062,3,109.84,card
T3-203,2025-08-22T17:49:21,S006,P0107,2,98.78,card
T3-204,2025-08-22T09:05:37,S010,P0189,3,159.89,cash
T3-205,2025-08-22T12:07:13,S009,P0142,5,197.05,cash
T3-206,2025-08-22T19:57:19,S010,P0009,5,89.08,cash
T3-207,2025-08-22T18:59:36,S001,P0069,1,99.21,cash
T3-208,2025-08-22T15:52:58,S005,P0013,5,61.26,cash
T3-209,2025-08-22T16:42:30,S003,P0195,3,124.89,card
T3-210,2025-08-22T11:11:22,S006,P0004,4,58.64,card
T3-211,2025-08-22T19:14:29,S007,P0027,5,156.03,online
T3-212,2025-08-22T18:30:56,S002,P0055,5,33.82,online
T3-213,2025-08-22T18:58:20,S004,P0129,2,192.23,online
T3-214,2025-08-22T12:11:34,S002,P0174,5,196.29,cash
T3-215,2025-08-22T18:40:14,S008,P0170,3,104.4,online
T3-216,2025-08-22T19:06:03,S010,P0125,2,86.3,cash
T3-217,2025-08-22T15:43:51,S006,P0065,2,61.9,online
T3-218,2025-08-22T15:33:46,S003,P0015,1,197.23,card
T3-219,2025-08-22T19:55:14,S009,P0021,2,122.71,card
T3-220,2025-08-22T10:24:56,S001,P0002,4,62.3,online
T3-221,2025-08-22T12:19:30,S005,P0042,4,131.29,online
T3-222,2025-08-22T12:38:00,S002,P0173,5,20.68,cash
T3-223,2025-08-22T13:27:27,S009,P0103,3,1.57,cash
T3-224,2025-08-22T18:30:07,S009,P0035,2,105.08,card
T3-225,2025-08-22T13:29:59,S010,P0119,3,100.99,card
T3-226,2025-08-22T15:34:06,S008,P0193,2,71.41,online
T3-227,2025-08-22T15:52:51,S004,P0058,1,32.45,cash
T3-228,2025-08-22T11:19:10,S009,P0084,1,22.91,online
T3-229,2025-08-22T19:40:06,S007,P0037,4,69.44,cash
T3-230,2025-08-22T18:44:12,S009,P0144,4,156.91,online
T3-231,2025-08-22T20:34:02,S004,P0010,3,188.34,cash
T3-232,2025-08-22T17:55:57,S008,P0035,1,188.63,card
T3-233,2025-08-22T17:40:25,S004,P0072,1,140.72,cash
T3-234,2025-08-22T14:32:09,S002,P0067,5,20.85,card
T3-235,2025-08-22T09:58:07,S002,P0102,4,26.83,cash
T3-236,2025-08-22T20:50:59,S009,P0127,3,48.04,cash
T3-237,2025-08-22T15:22:53,S002,P0036,5,159.89,online
T3-238,2025-08-22T13:02:50,S002,P0161,3,32.47,cash
T3-239,2025-08-22T18:35:13,S006,P0179,4,63.97,card
T3-240,2025-08-22T18:20:13,S010,P0084,4,155.76,cash
T3-241,2025-08-22T13:28:29,S005,P0023,2,126.66,card
T3-242,2025-08-22T19:11:59,S004,P0054,1,113.55,card
T3-243,2025-08-22T12:38:15,S003,P0112,1,119.51,online
T3-244,2025-08-22T20:09:07,S007,P0133,1,95.14,online
T3-245,2025-08-22T14:11:45,S009,P0034,2,20.97,cash
T3-246,2025-08-22T11:41:32,S008,P0123,4,17.86,online
T3-247,2025-08-22T13:01:55,S005,P0185,2,142.04,online
T3-248,2025-08-22T19:56:10,S007,P0113,4,140.67,card
T3-249,2025-08-22T18:03:08,S003,P0082,1,198.77,card
T3-250,2025-08-22T15:01:07,S005,P0186,3,144.31,online
T3-251,2025-08-22T12:32:42,S002,P0057,1,79.8,card
T3-252,2025-08-22T13:50:38,S008,P0090,2,54.76,cash
T3-253,2025-08-22T11:19:14,S001,P0029,5,78.3,card
T3-254,2025-08-22T17:22:44,S009,P0194,3,136.66,cash
T3-255,2025-08-22T20:32:44,S005,P0126,2,33.83,online
T3-256,2025-08-22T12:38:59,S009,P0177,5,38.58,online
T3-257,2025-08-22T13:30:16,S001,P0166,1,157.72,cash
T3-258,2025-08-22T15:28:17,S002,P0148,1,84.03,cash
T3-259,2025-08-22T09:02:10,S007,P0191,4,74.26,card
T3-260,2025-08-22T12:57:49,S007,P0170,5,45.46,online
T3-261,2025-08-22T20:29:56,S005,P0022,4,24.34,cash
T3-262,2025-08-22T12:31:19,S007,P0123,4,72.13,cash
T3-263,2025-08-22T17:10:49,S010,P0106,5,111.55,online
T3-264,2025-08-22T14:47:16,S010,P0020,3,40.83,online
T3-265,2025-08-22T13:18:48,S003,P0097,4,86.83,cash
T3-266,2025-08-22T12:32:33,S008,P0095,1,186.57,cash
T3-267,2025-08-22T09:03:36,S009,P0027,1,97.73,cash
T3-268,2025-08-22T16:36:57,S005,P0008,3,72.36,cash
T3-269,2025-08-22T17:32:44,S002,P0104,2,184.61,cash
T3-270,2025-08-22T17:29:08,S003,P0057,3,58.42,online
T3-271,2025-08-22T09:28:31,S010,P0041,1,53.6,card
T3-272,2025-08-22T13:46:29,S005,P0132,3,38.7,card
T3-273,2025-08-22T14:38:56,S010,P0120,1,140.39,card
T3-274,2025-08-22T10:38:26,S007,P0192,1,105.25,card
T3-275,2025-08-22T13:05:03,S004,P0116,2,117.52,card
T3-276,2025-08-22T16:21:55,S010,P0094,2,135.75,cash
T3-277,2025-08-22T16:41:19,S007,P0114,3,137.08,cash
T3-278,2025-08-22T17:05:49,S004,P0050,5,174.87,card
T3-279,2025-08-22T11:06:14,S010,P0168,4,135.41,cash
T3-280,2025-08-22T14:36:44,S009,P0093,4,94.7,online
T3-281,2025-08-22T14:38:14,S002,P0076,1,127.31,cash
T3-282,2025-08-22T17:53:30,S002,P0118,1,107.42,card
T3-283,2025-08-22T20:17:13,S008,P0009,4,54.48,cash
T3-284,2025-08-22T18:54:30,S002,P0078,4,118.32,card
T3-285,2025-08-22T18:32:57,S009,P0034,4,80.95,online
T3-286,2025-08-22T18:40:40,S001,P0028,4,34.88,cash
T3-287,2025-08-22T20:18:12,S009,P0083,3,182.75,cash
T3-288,2025-08-22T10:51:43,S003,P0027,5,190.66,cash
T3-289,2025-08-22T13:49:53,S003,P0013,1,164.66,card
T3-290,2025-08-22T10:28:08,S006,P0193,1,139.01,online
T3-291,2025-08-22T19:43:36,S010,P0162,1,32.27,online
T3-292,2025-08-22T18:10:00,S008,P0171,4,138.85,online
T3-293,2025-08-22T12:43:29,S004,P0154,5,134.38,cash
T3-294,2025-08-22T09:30:36,S010,P0118,4,21.19,cash
T3-295,2025-08-22T11:21:43,S010,P0150,4,52.64,card
T3-296,2025-08-22T13:53:51,S007,P0166,1,153.57,online
T3-297,2025-08-22T18:34:35,S010,P0100,1,1.38,card
T3-298,2025-08-22T12:23:34,S010,P0043,2,157.69,card
T3-299,2025-08-22T09:33:21,S001,P0007,3,139.02,cash
T3-300,2025-08-22T17:39:13,S008,P0062,3,189.8,online
T3-301,2025-08-22T13:59:18,S006,P0012,4,147.28,card
T3-302,2025-08-22T10:11:50,S001,P0189,4,155.38,cash
T3-303,2025-08-22T09:02:56,S004,P0127,4,81.52,cash
T3-304,2025-08-22T16:51:43,S004,P0147,1,28.77,card
T3-305,2025-08-22T13:46:12,S003,P0059,2,178.51,cash
T3-306,2025-08-22T09:08:00,S002,P0017,2,79.42,online
T3-307,2025-08-22T11:47:53,S007,P0198,3,44.02,cash
T3-308,2025-08-22T19:16:18,S002,P0030,4,147.0,online
T3-309,2025-08-22T13:46:33,S007,P0111,4,48.06,card
T3-310,2025-08-22T18:22:54,S004,P0156,4,175.05,card
T3-311,2025-08-22T11:26:45,S010,P0060,3,65.84,cash
T3-312,2025-08-22T10:49:33,S006,P0026,3,186.53,card
T3-313,2025-08-22T17:49:27,S006,P0045,5,165.14,card
T3-314,2025-08-22T14:25:58,S002,P0162,4,9.2,cash
T3-315,2025-08-22T16:04:18,S006,P0196,4,137.15,cash
T3-316,2025-08-22T09:26:55,S010,P0051,5,156.5,online
T3-317,2025-08-22T15:40:55,S005,P0151,2,100.94,card
T3-318,2025-08-22T18:47:55,S006,P0061,4,187.52,cash
T3-319,2025-08-22T09:47:30,S001,P0008,3,44.49,online
T3-320,2025-08-22T16:38:57,S001,P0129,3,32.15,card
T3-321,2025-08-22T12:18:10,S002,P0175,4,30.44,online
T3-322,2025-08-22T13:13:24,S010,P0066,1,81.02,card
T3-323,2025-08-22T10:34:15,S008,P0120,1,42.62,card
T3-324,2025-08-22T10:06:58,S003,P0196,1,185.27,card
T3-325,2025-08-22T11:22:39,S006,P0090,5,127.98,card
T3-326,2025-08-22T18:12:55,S001,P0089,4,76.95,cash
T3-327,2025-08-22T17:16:32,S010,P0046,5,128.16,online
T3-328,2025-08-22T15:58:16,S003,P0037,1,55.0,cash
T3-329,2025-08-22T15:29:06,S002,P0010,1,32.79,card
T3-330,2025-08-22T13:35:46,S005,P0184,2,168.68,card
T3-331,2025-08-22T19:31:29,S008,P0070,3,166.55,card
T3-332,2025-08-22T20:46:07,S010,P0060,5,53.73,cash
T3-333,2025-08-22T20:39:15,S008,P0072,5,27.71,cash
T3-334,2025-08-22T20:57:12,S001,P0057,5,195.28,cash
T3-335,2025-08-22T20:30:52,S010,P0180,5,70.52,cash
T3-336,2025-08-22T11:33:25,S002,P0086,1,178.31,cash
T3-337,2025-08-22T12:11:23,S006,P0082,5,188.36,card
T3-338,2025-08-22T19:52:47,S009,P0198,3,8.5,online
T3-339,2025-08-22T17:21:43,S002,P0175,2,42.65,online
T3-340,2025-08-22T14:31:49,S005,P0108,3,28.65,cash
T3-341,2025-08-22T10:38:19,S002,P0193,4,72.98,card
T3-342,2025-08-22T09:33:42,S007,P0069,3,161.24,online
T3-343,2025-08-22T18:26:03,S007,P0017,1,192.8,card
T3-344,2025-08-22T18:14:52,S010,P0022,3,152.55,card
T3-345,2025-08-22T13:07:31,S009,P0143,1,16.15,card
T3-346,2025-08-22T19:00:53,S009,P0124,1,186.04,online
T3-347,2025-08-22T12:24:08,S002,P0158,5,2.19,cash
T3-348,2025-08-22T20:02:19,S003,P0142,4,124.17,card
T3-349,2025-08-22T15:15:49,S008,P0160,1,127.41,online
T3-350,2025-08-22T12:33:41,S002,P0165,1,8.31,cash
T3-351,2025-08-22T09:45:03,S004,P0007,4,46.1,card
T3-352,2025-08-22T13:05:14,S008,P0167,5,51.75,card
T3-353,2025-08-22T20:34:27,S005,P0170,5,66.14,cash
T3-354,2025-08-22T20:18:17,S001,P0125,4,41.18,card
T3-355,2025-08-22T12:27:56,S005,P0011,2,34.7,cash
T3-356,2025-08-22T11:32:28,S004,P0127,4,72.07,cash
T3-357,2025-08-22T14:59:12,S008,P0086,4,79.66,cash
T3-358,2025-08-22T17:46:27,S006,P0115,3,116.33,online
T3-359,2025-08-22T09:29:47,S006,P0087,2,83.65,cash
T3-360,2025-08-22T11:05:31,S001,P0060,4,68.4,online
T3-361,2025-08-22T16:47:53,S008,P0095,2,75.63,cash
T3-362,2025-08-22T10:14:26,S009,P0044,2,154.72,online
T3-363,2025-08-22T17:02:27,S001,P0112,2,134.38,online
T3-364,2025-08-22T14:59:33,S010,P0153,3,178.18,card
T3-365,2025-08-22T17:57:28,S010,P0039,2,82.15,cash
T3-366,2025-08-22T17:04:22,S010,P0147,2,192.18,online
T3-367,2025-08-22T19:19:27,S010,P0136,3,173.04,cash
T3-368,2025-08-22T10:30:35,S008,P0017,3,94.09,cash
T3-369,2025-08-22T11:09:54,S002,P0115,5,122.6,online
T3-370,2025-08-22T17:31:43,S009,P0133,5,62.99,card
T3-371,2025-08-22T19:57:23,S009,P0110,4,28.75,card
T3-372,2025-08-22T15:27:50,S010,P0130,5,32.52,card
T3-373,2025-08-22T15:59:07,S009,P0076,1,43.66,cash
T3-374,2025-08-22T15:01:32,S001,P0139,3,148.38,online
T3-375,2025-08-22T11:45:04,S001,P0005,2,185.77,card
T3-376,2025-08-22T11:06:51,S002,P0056,1,67.78,online
T3-377,2025-08-22T19:02:05,S007,P0184,5,188.37,cash
T3-378,2025-08-22T14:53:37,S006,P0086,3,93.75,card
T3-379,2025-08-22T19:06:18,S002,P0197,3,70.82,card
T3-380,2025-08-22T12:48:37,S003,P0158,2,42.48,online
T3-381,2025-08-22T16:43:23,S003,P0079,5,164.58,online
T3-382,2025-08-22T14:33:01,S005,P0164,4,186.18,cash
T3-383,2025-08-22T10:11:38,S009,P0196,2,167.28,cash
T3-384,2025-08-22T18:29:21,S002,P0132,4,156.74,card
T3-385,2025-08-22T20:03:35,S001,P0080,4,2.05,online
T3-386,2025-08-22T19:51:58,S002,P0150,3,151.71,online
T3-387,2025-08-22T12:29:53,S006,P0099,5,48.59,online
T3-388,2025-08-22T11:20:41,S003,P0175,4,2.25,cash
T3-389,2025-08-22T19:28:19,S008,P0101,1,184.94,card
T3-390,2025-08-22T09:47:50,S010,P0047,2,162.59,online
T3-391,2025-08-22T17:39:01,S007,P0069,4,68.21,cash
T3-392,2025-08-22T15:21:48,S004,P0167,2,175.39,cash
T3-393,2025-08-22T12:37:38,S007,P0181,1,154.56,card
T3-394,2025-08-22T20:13:16,S003,P0122,4,145.89,online
T3-395,2025-08-22T15:10:26,S005,P0182,1,44.41,card
T3-396,2025-08-22T18:22:00,S003,P0006,1,68.22,online
T3-397,2025-08-22T16:51:34,S007,P0146,3,89.71,card
T3-398,2025-08-22T15:05:54,S009,P0040,4,67.94,card
T3-399,2025-08-22T09:06:28,S007,P0021,4,42.83,cash
T3-400,2025-08-22T10:48:19,S005,P0177,5,117.24,cash
T3-401,2025-08-22T20:15:04,S007,P0078,5,42.37,cash
T3-402,2025-08-22T10:35:39,S005,P0122,1,166.92,card
T3-403,2025-08-22T11:13:28,S001,P0109,2,143.37,card
T3-404,2025-08-22T16:10:43,S001,P0169,3,114.39,online
T3-405,2025-08-22T11:10:57,S006,P0090,3,169.99,cash
T3-406,2025-08-22T15:14:31,S010,P0195,4,85.36,cash
T3-407,2025-08-22T17:43:01,S010,P0191,4,41.75,card
T3-408,2025-08-22T14:06:19,S002,P0119,2,4.53,cash
T3-409,2025-08-22T19:09:47,S009,P0160,1,26.13,card
T3-410,2025-08-22T17:45:29,S009,P0025,1,3.99,cash
T3-411,2025-08-22T09:25:24,S007,P0141,4,33.4,cash
T3-412,2025-08-22T17:49:27,S006,P0040,3,90.01,online
T3-413,2025-08-22T20:16:31,S004,P0089,4,3.2,cash
T3-414,2025-08-22T13:02:04,S002,P0138,1,68.55,card
T3-415,2025-08-22T17:12:21,S003,P0187,3,40.93,card
T3-416,2025-08-22T16:14:30,S008,P0147,2,14.76,online
T3-417,2025-08-22T11:16:28,S010,P0105,4,108.85,card
